id,date,channel,customer_type,content,keyword_hint,date_clean,week,is_duplicate_removed,data_quality_flags,voc_type,sub_intent,topic,regulation_context,urgency,customer_impact,classification_reason
001,2026-05-02,이메일,1차 협력사,CBAM 신고 양식 제출 기한이 정확히 언제인가요? 올해 처음 신고라 헷갈립니다.,"CBAM, 신고기한",2026-05-02,2026-W18,False,,일반 문의,,CBAM 신고/인증서,CBAM,Low,Medium,"정보 확인 표현('언제')이 확인되어 일반 문의로 분류. urgency는 별다른 긴급 신호가 없어 Low로 판단 (customer_type=1차 협력사, channel=이메일 반영)"
002,2026-05-03,채널톡,기타,탄소 배출량 계산 방식이 작년과 달라진 것 같습니다. Scope 2 수치가 갑자기 크게 바뀌었어요. 무슨 기준이 바뀐 건지 설명해주세요.,"Scope2, 배출량계산",2026-05-03,2026-W18,False,,일반 문의,,계산 로직/데이터 신뢰성,Scope2,Low,Low,"정보 확인 표현('기준')이 확인되어 일반 문의로 분류. urgency는 별다른 긴급 신호가 없어 Low로 판단 (customer_type=기타, channel=채널톡 반영)"
003,5월 4일,이메일,2차 협력사,카본링크 플랫폼에 로그인이 안 됩니다. 비밀번호 재설정도 안 되고 있어요. 업무가 마비됐습니다.,"로그인, 플랫폼오류",2026-05-04,2026-W19,False,,불만,,플랫폼 오류/API/권한,기타,High,Medium,"불만 표현('오류')이 확인되어 불만으로 분류. urgency는 '오류' 표현에 따라 High로 판단 (customer_type=2차 협력사, channel=이메일 반영)"
004,2026-05-05,이메일,기타,CSRD 보고서 초안 검토해주셔서 감사합니다. 덕분에 이사회 보고를 무사히 마쳤습니다.,"CSRD, 보고서",2026-05-05,2026-W19,False,,칭찬,,CSRD 보고/공시,CSRD,Low,Low,"긍정 표현('감사합니다')이 확인되어 칭찬으로 분류. urgency는 별다른 긴급 신호가 없어 Low로 판단 (customer_type=기타, channel=이메일 반영)"
005,2026/05/06,채널톡,기타,Scope 3 카테고리 15번(투자) 계산이 너무 복잡합니다. 금융업 특화 가이드가 있으면 제공해주세요.,"Scope3, 금융투자",2026-05-06,2026-W19,False,,기능 요청,,Scope 3/공급망 데이터,Scope3,Low,Low,"요청 표현('제공해주세요')이 확인되어 기능 요청으로 분류. urgency는 별다른 긴급 신호가 없어 Low로 판단 (customer_type=기타, channel=채널톡 반영)"
006,2026-05-07,이메일,1차 협력사,CBAM 인증서 구매 절차를 단계별로 설명하는 가이드 문서를 만들어 주시면 좋겠습니다.,"CBAM, 인증서, 가이드",2026-05-07,2026-W19,False,,기능 요청,가이드요청,CBAM 신고/인증서,CBAM,Medium,Medium,"정보 확인('절차')과 요청 표현('만들어 주시면')이 함께 나타나 기능 요청(가이드요청)으로 분류. urgency는 '인증' 표현에 따라 Medium로 판단 (customer_type=1차 협력사, channel=이메일 반영)"
007,2026-05-08,미팅메모,기타,탄소중립 이행 계획서 작성 시 공공기관이 적용받는 기준이 따로 있나요? 민간 기준과 다른 게 있는지 확인하고 싶습니다.,"탄소중립, 공공기관",2026-05-08,2026-W19,False,,일반 문의,,감축 로드맵/컨설팅,기타,Low,Low,"정보 확인 표현('기준')이 확인되어 일반 문의로 분류. urgency는 별다른 긴급 신호가 없어 Low로 판단 (customer_type=기타, channel=미팅메모 반영)"
008,2026/05/09,이메일,OEM,공급망 2차 협력사 데이터 입력 기능이 너무 불편합니다. 협력사가 200개인데 일일이 손으로 입력해야 해서 시간이 너무 걸립니다.,"Scope3, 협력사데이터, 입력",2026-05-09,2026-W19,False,,불만,,Scope 3/공급망 데이터,Scope3,Low,Medium,"불만 표현('불편')이 확인되어 불만으로 분류. urgency는 별다른 긴급 신호가 없어 Low로 판단 (customer_type=OEM, channel=이메일 반영)"
009,2026-05-10,채널톡,기타,PCF(제품탄소발자국) 산정에 어떤 LCA 데이터베이스를 쓰면 좋을까요? ecoinvent 말고 국내 데이터베이스가 있는지 궁금합니다.,"LCA, PCF, 탄소발자국",2026-05-10,2026-W19,False,,일반 문의,,PCF/LCA/탄소발자국,PCF/LCA,Low,Low,"정보 확인 표현('궁금합니다')이 확인되어 일반 문의로 분류. urgency는 별다른 긴급 신호가 없어 Low로 판단 (customer_type=기타, channel=채널톡 반영)"
010,2026-05-11,이메일,OEM,카본링크에서 출력한 CBAM 보고서가 EU 세관에서 반려됐습니다. 양식 문제인지 수치 문제인지 확인 부탁드립니다. 긴급합니다.,"CBAM, 보고서, EU세관",2026-05-11,2026-W20,False,,불만,개선요청,CBAM 신고/인증서,CBAM,High,High,"불만 표현('반려')과 개선 요청 표현('부탁드립니다')이 함께 나타나 불만(개선요청)으로 분류. urgency는 '긴급' 표현에 따라 High로 판단 (customer_type=OEM, channel=이메일 반영)"
011,5월 12일,채널톡,기타,ESG 포트폴리오 관리 기능이 추가되면 좋겠습니다. 투자사 입장에서 피투자사의 탄소 지표를 대시보드에서 한눈에 보고 싶습니다.,"ESG, 포트폴리오, 투자",2026-05-12,2026-W20,False,,기능 요청,,보고서/대시보드,ESG/공시,Low,Low,"요청 표현('좋겠습니다')이 확인되어 기능 요청으로 분류. urgency는 별다른 긴급 신호가 없어 Low로 판단 (customer_type=기타, channel=채널톡 반영)"
012,2026/05/13,이메일,1차 협력사,온보딩 담당자분이 너무 친절하게 안내해주셔서 초기 세팅이 순조로웠습니다. 감사합니다.,"온보딩, CS",2026-05-13,2026-W20,False,,칭찬,,기타,기타,Low,Medium,"긍정 표현('친절하게')이 확인되어 칭찬으로 분류. urgency는 별다른 긴급 신호가 없어 Low로 판단 (customer_type=1차 협력사, channel=이메일 반영)"
013,2026-05-14,이메일,기타,CSRD 이중 중요성(double materiality) 평가 방법론을 플랫폼 내에서 지원해줄 수 있나요? 외부 컨설팅 비용이 너무 많이 나옵니다.,"CSRD, 이중중요성",2026-05-14,2026-W20,False,,기능 요청,가이드요청,CSRD 보고/공시,CSRD,Medium,Low,"정보 확인('방법')과 요청 표현('해줄 수 있나요')이 함께 나타나 기능 요청(가이드요청)으로 분류. urgency는 '비용' 표현에 따라 Medium로 판단 (customer_type=기타, channel=이메일 반영)"
