id	date_clean	channel	customer_type	voc_type	topic	urgency	content
001	2026-05-02	이메일	1차 협력사	일반 문의	CBAM 신고/인증서	Low	CBAM 신고 양식 제출 기한이 정확히 언제인가요? 올해 처음 신고라 헷갈립니다.
002	2026-05-03	채널톡	기타	일반 문의	계산 로직/데이터 신뢰성	Low	탄소 배출량 계산 방식이 작년과 달라진 것 같습니다. Scope 2 수치가 갑자기 크게 바뀌었어요. 무슨 기준이 바뀐 건지 설명해주세요.
003	2026-05-04	이메일	2차 협력사	불만	플랫폼 오류/API/권한	High	카본링크 플랫폼에 로그인이 안 됩니다. 비밀번호 재설정도 안 되고 있어요. 업무가 마비됐습니다.
004	2026-05-05	이메일	기타	칭찬	CSRD 보고/공시	Low	CSRD 보고서 초안 검토해주셔서 감사합니다. 덕분에 이사회 보고를 무사히 마쳤습니다.
005	2026-05-06	채널톡	기타	기능 요청	Scope 3/공급망 데이터	Low	Scope 3 카테고리 15번(투자) 계산이 너무 복잡합니다. 금융업 특화 가이드가 있으면 제공해주세요.
006	2026-05-07	이메일	1차 협력사	기능 요청	CBAM 신고/인증서	Medium	CBAM 인증서 구매 절차를 단계별로 설명하는 가이드 문서를 만들어 주시면 좋겠습니다.
007	2026-05-08	미팅메모	기타	일반 문의	감축 로드맵/컨설팅	Low	탄소중립 이행 계획서 작성 시 공공기관이 적용받는 기준이 따로 있나요? 민간 기준과 다른 게 있는지 확인하고 싶습니다.
008	2026-05-09	이메일	OEM	불만	Scope 3/공급망 데이터	Low	공급망 2차 협력사 데이터 입력 기능이 너무 불편합니다. 협력사가 200개인데 일일이 손으로 입력해야 해서 시간이 너무 걸립니다.
009	2026-05-10	채널톡	기타	일반 문의	PCF/LCA/탄소발자국	Low	PCF(제품탄소발자국) 산정에 어떤 LCA 데이터베이스를 쓰면 좋을까요? ecoinvent 말고 국내 데이터베이스가 있는지 궁금합니다.
010	2026-05-11	이메일	OEM	불만	CBAM 신고/인증서	High	카본링크에서 출력한 CBAM 보고서가 EU 세관에서 반려됐습니다. 양식 문제인지 수치 문제인지 확인 부탁드립니다. 긴급합니다.
011	2026-05-12	채널톡	기타	기능 요청	보고서/대시보드	Low	ESG 포트폴리오 관리 기능이 추가되면 좋겠습니다. 투자사 입장에서 피투자사의 탄소 지표를 대시보드에서 한눈에 보고 싶습니다.
012	2026-05-13	이메일	1차 협력사	칭찬	기타	Low	온보딩 담당자분이 너무 친절하게 안내해주셔서 초기 세팅이 순조로웠습니다. 감사합니다.
013	2026-05-14	이메일	기타	기능 요청	CSRD 보고/공시	Medium	CSRD 이중 중요성(double materiality) 평가 방법론을 플랫폼 내에서 지원해줄 수 있나요? 외부 컨설팅 비용이 너무 많이 나옵니다.
014	2026-05-15	채널톡	2차 협력사	불만	검증/인증/감사	Medium	같은 제품인데 카본링크 계산 결과와 외부 전문기관 산정값이 20% 차이납니다. 어느 쪽이 맞는 건지 근거를 알고 싶습니다.
015	2026-05-16	이메일	기타	일반 문의	PCF/LCA/탄소발자국	Medium	탄소발자국 검증 인증 기관 목록을 알려주실 수 있나요? 내부 감사에서 제3자 검증 요구가 들어왔습니다.
016	2026-05-17	채널톡	1차 협력사	일반 문의	CBAM 신고/인증서	Medium	CBAM 전환 기간이 끝나고 2026년 1월부터 인증서를 실제로 구매해야 한다는 게 맞나요? 비용이 얼마나 될지 추산 방법이 있나요?
017	2026-05-18	이메일	기타	칭찬	기타	Low	플랫폼 UI가 직관적으로 바뀐 것 같아요. 저번 달 업데이트 이후로 훨씬 편하게 쓰고 있습니다.
018	2026-05-19	이메일	기타	기능 요청	Scope 3/공급망 데이터	Low	공급업체 탄소 데이터 공유 요청을 일괄 발송하는 기능이 필요합니다. 현재는 협력사마다 개별 링크 전송이 너무 번거롭습니다.
019	2026-05-20	채널톡	2차 협력사	불만	계산 로직/데이터 신뢰성	Low	Scope 1 직접 배출 측정에서 연료 연소 계산이 틀린 것 같습니다. GWP 값 업데이트가 반영 안 된 것 같아요. IPCC 6차 보고서 기준으로 수정해주세요.
020	2026-05-21	이메일	1차 협력사	기능 요청	감축 로드맵/컨설팅	Low	탄소 감축 로드맵 수립을 지원하는 컨설팅 서비스도 추가해주시면 좋겠습니다. 측정은 됐는데 어떻게 줄여야 할지 막막합니다.
021	2026-05-22	이메일	기타	칭찬	기타	Low	담당자분이 빠르게 답변해주시고 이슈를 다음 날 바로 해결해주셨습니다. 대응이 매우 인상적이었습니다.
022	2026-05-23	채널톡	기타	기능 요청	CSRD 보고/공시	Low	TCFD 보고와 CSRD 보고를 동시에 할 때 중복 데이터 입력을 줄일 수 있는 기능을 추가해주세요. 두 프레임워크 데이터가 따로 관리되어 비효율적입니다.
023	2026-05-24	이메일	1차 협력사	기능 요청	CBAM 신고/인증서	Low	CBAM 관련 데이터를 협력사에서 받아야 하는데 협력사들이 협조를 안 합니다. 공문이나 요청 템플릿 양식을 제공해 주실 수 있나요?
024	2026-05-25	이메일	기타	칭찬	보고서/대시보드	Low	작년에 비해 탄소 배출 집계 오류가 많이 줄었습니다. 카본링크 덕분에 보고서 품질이 확실히 올라갔어요.
025	2026-05-26	채널톡	OEM	일반 문의	CBAM 신고/인증서	Low	EU 수입업자가 우리 제품의 탄소 내재량 데이터를 요구하는데 어떤 형식으로 제출해야 하나요? 표준 양식이 있나요?
026	2026-05-27	이메일	기타	불만	플랫폼 오류/API/권한	High	카본링크 API 연동이 자꾸 끊깁니다. ERP 시스템과 연결했는데 하루에 두세 번씩 연결이 끊겨서 데이터가 누락됩니다. 빨리 해결해주세요.
